Name,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q3_24,Q3_25,Q3_26,Q3_27,Q3_28,Q4,Q15,Q17
Name,"Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Making Machine Learning Fair","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Interpreting AI Decision-Making","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Transparent Machine-Learning Models","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Voting for Participatory Budgeting","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Voting with Delegation","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Improved Learning from Rankings","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Equilibrium Selection in Cooperative Games","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Communication for Teamwork in Games","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - An Overview of Zero-Sum Games","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Solution Concepts in Many-Player Games","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Stackelberg Security Games for Coastal Defense","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - A No-Regret Algorithm for Efficient Equilibrium Computation","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Consistency of Bayesian Inference","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Fitting Graphical Models","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - A Novel Gaussian Process Approximation","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - A*+DFS: A Hybrid Search Algorithm","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - A* Search Under Uncertainty","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Search-Based Planning of Robot Trajectories","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Online Convex Optimization with Regularization","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - A Hybrid Method for Non-Convex Optimization","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Memory and Computation-Efficient Kernel SVMs","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Forecasting Stock Prices with Deep Learning","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - A Deep Learning Approach for Anomaly Detection","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - New Algorithms for 3D Computer Vision","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Towards More Accurate NLP Models","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Optimal Error Bounds in Statistical Learning Theory","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Private Stochastic Convex Optimization","Enter a bid on each of the following papers at the conference (not bidding on a paper is treated as  ""Indifferent""): - Multi-Agent Cooperative Board Games","Did you follow any kind of strategy when bidding and if so, what was it?","Did you communicate with your other group members and if so, what did you discuss?",(Optional) Do you have any  thoughts on how to prevent this kind of malicious behavior in conferences?
csntbduqtd,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,"My group member and I had the same exactly bidding strategy, but selected different papers to review. We selected all the papers which deal with ""teamwork"" or ""cooperative"" (in the title) and rank those as ""eager"". Then, we put all other ""game""-based papers in indifferent and our extra interests in indifferent as well.",Our entire strategy.,
rvkkwbtzer,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,"My group member and I used the same strategy. We selected Eager for everything (3 papers) related to cooperative games, which includes both our papers. We selected indifferent for other game theory papers as well as some other papers in our areas of expertise. Everything else we left not willing.",Our entire strategy.,"Instead of listing titles and authors, list a keyword or few"
mnjftlglyt,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Eager to review,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,"I only bid ""Eager"" for 3 papers (including the target paper), thus hoping to maximize the chance of receiving the target paper.","Because I had already marked the target paper as ""Eager"" in the Honest Reviewer part, I didn't feel the need to discuss a strategy with others. I basically just pared down my many ""Eager"" bids in the Honest Reviewer part to 3 ""Eager"" bids in the Malicious part.","I think this is a hard problem. Ideally, you could identify all the existing ""ties"" people have - this ranges from easy (at the same institution) to harder (co-authored a paper before) to impossible (are friends). And even if you could address all existing ties, you could still imagine authors who are strangers entering into a cooperative pact.

No one is eager for this, but I think having more eyes on each paper could help mitigate this problem. Even if one reviewer is malicious, if they are outnumbered by honest reviewers then it's unlikely they will sway everybody."
icajjdmwlv,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Not willing to review,We voted eager on some of each others papers and other common ones to flood those.,We discussed our strategy over Zoom.,
cjrzpptolx,Eager to review,Indifferent,Not willing to review,Eager to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,"We decided to put two of the 3 papers in our group as eager and the other as indifferent and our own paper as not willing to review. Then, we split the group on our interests and found two other papers that we were willing to review in our subgroup and both voted that as Eager (and the other two put those as indifferent) and we did the reverse for their subgroup. Then we each added some noise. ",We made this strategy together. ,
vqnicjcdyl,Indifferent,Indifferent,Indifferent,Eager to review,,Eager to review,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,"We tried to bid eager on similar non-group papers to push them to be ""full"", so that when they fill up we are more likely to be assigned our ""goal"" eager papers. Not all goal papers were assigned eager, just the ones that overlapped well, but all goal papers were at least indifferent.",Yes. We discussed the above strategy.,Maybe look for similarities in voting between authors with seemingly varying interests?
xkoidzldie,Eager to review,Eager to review,Eager to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Indifferent,Indifferent,no,,
hsmqgyjeqq,Eager to review,Indifferent,Eager to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Eager to review,Indifferent,Not willing to review,Eager to review,Eager to review,Indifferent,Eager to review,Eager to review,Not willing to review,Not willing to review,"I rated most of the papers my group of friends have authored as eager to review except one as indifferent so that it is a little less suspicious. For the rest of the papers I picked based on my interest but gave very few as eager to review, and was more likely to give indifferent or even more likely to give not willing to review (based on the other round).","Yes however, the other group members said they were busy and could not participate.",Perhaps look to see if certain people are favoring subjects that aren't within their specialty/interest or see if they are favoring certain papers but not other similar papers.
mkgrimervy,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,"My particular situation wasn't too ""difficult"" because my team member's paper falls within my expertise, and in total there weren't too many papers in my expertise areas. So, I voted mostly truthfully, but selected fewer ""eager"" papers than I normally would.","Yes. We checked our areas of expertise to look for overlap. My team-member's paper was in my expertise, but my paper was not in theirs. So, we had to come up with a plan for their bids that didn't look too suspicious.",
