name,sas,authored_sa,authored_id,target_sa,target_id,group
dbqzmqxjos,9 10 8,9,13,,,0
rftrbxbkdl,9 10 8,10,14,,,0
asafvxevcd,8 10 3,8,12,,,0
xkoidzldie,1 20 21,1,1,1,2,1
uqhkynmsse,17 7 24 ,7,11,,,2
qpwypbqgni,17 7 5,17,19,,,2
slvubeglvy,18 7 5,18,21,,,2
zwkoowshdv,17 18 24,17,20,,,2
nrwxkyzklu,2 7 6,7,11,,,3
wpklglvwdi,1 2 7,2,3,,,3
mjilubyayb,14 17 0,17,19,,,4
faeasyvdyt,6 8 22,22,26,,,5
beaqmlcczm,5 6 22,6,9,,,5
zduiamsoia,17 18 13,13,16,,,4
eqwrtenrmj,2 17 21,21,25,17,19,6
pjlysadups,5 6 9,5,6,,,7
vcwcagrgwo,5 6 10,5,7,,,7
vjtotvamvk,5 6 7,6,10,,,7
csntbduqtd,5 11 13,5,7,,,8
vqzdwqkwtf,0 1 9,0,0,1,1,9
rvkkwbtzer,5 11 14,5,8,,,8
icajjdmwlv,0 2 3 ,3,5,,,10
coqdouvtfk,2 1 5,1,1,,,10
cjrzpptolx,1 2 3,1,2,,,10
vqnicjcdyl,2 5 6,2,4,,,10
oifwsmxuuh,14 17 18,14,18,,,11
qihtokrzkp,17 5 11,17,20,,,11
xyphczmnun,13 14 18,13,16,,,11
zjymizclei,17 13 8,13,17,,,11
dhjmujchol,5 6 11,5,6,,,12
kmxgrmksxm,9 20 11,11,15,,,12
stsdorwpcq,5 6 10,6,9,,,12
tpcaizzozh,5 13 20,5,8,,,12
gfudonpdlt,13 2 3,13,17,,,13
mjugorrsep,11 7 8,11,15,,,14
mkgrimervy,13 14 2,14,18,,,13
mnjftlglyt,11 7 8,8,12,,,14
fxxzhnuiir,20 24 5,20,23,,,15
bbbdjbgaom,20 21 19,20,24,,,15
hsmqgyjeqq,20 24 22,24,27,,,15
klvsradixm,20 21 22,21,25,,,15
motuzrmtrr,14 18 19,18,21,19,22,16
cafwawyjrg,2 3 5,2,3,3,5,17
mkojlofrhe,20 21 24,20,23,,,18
btuoyytzsf,20 19 17,19,22,,,18
nellpalzkn,0 1 24,24,27,,,18
dzrgtcpoab,20 21 22,20,24,,,18
hzxuweegdt,19 9 10,9,13,,,19
aaxgxbxidx,21 19 10,19,22,,,19
lcclbawybw,19 22 9,22,26,,,19
ldcpypenyg,10 21 0,10,14,,,19
ykgfttvrmp,2 6 3,3,5,,,20
edecenoxeh,1 2 8,2,4,,,20
pyhgmzzgnc,1 2 5,1,2,,,20
rfblyhrkyi,1 6 24,6,10,,,20
ywmjgttlal,0 1 2,0,0,2,3,21
