name,sas,authored_sa,authored_id,target_sa,target_id,group
nrsbucweni,9 10 8,9,13,,,0
chtivfpbch,9 10 8,10,14,,,0
piacocvqdx,8 10 3,8,12,,,0
ijjjlinaus,1 20 21,1,1,1,2,1
ncxeyvlqvi,17 7 24 ,7,11,,,2
tbjdkthvjr,17 7 5,17,19,,,2
wxnwrguyxk,18 7 5,18,21,,,2
pdwnpcdseg,17 18 24,17,20,,,2
ncukoqzwia,2 7 6,7,11,,,3
janmbeieqw,1 2 7,2,3,,,3
xxioielxgv,14 17 0,17,19,,,4
igbilknsag,6 8 22,22,26,,,5
quqcfukuvm,5 6 22,6,9,,,5
ypvppuvgds,17 18 13,13,16,,,4
fiigpgparj,2 17 21,21,25,17,19,6
hwxczkrhlx,5 6 9,5,6,,,7
cmlztxuimt,5 6 10,5,7,,,7
ozucixhaep,5 6 7,6,10,,,7
lorchjdakd,5 11 13,5,7,,,8
jumbuxtiyr,0 1 9,0,0,1,1,9
ecszjnypbi,5 11 14,5,8,,,8
cvttbcjmaj,0 2 3 ,3,5,,,10
glotrdbwsk,2 1 5,1,1,,,10
baiczgutwt,1 2 3,1,2,,,10
rshlhlevdk,2 5 6,2,4,,,10
ybedrtlokx,14 17 18,14,18,,,11
josvcummef,17 5 11,17,20,,,11
yaxpaewdqo,13 14 18,13,16,,,11
yvrgtqkidl,17 13 8,13,17,,,11
mojqxxoexe,5 6 11,5,6,,,12
cacuwhodus,9 20 11,11,15,,,12
gaxdseqnfm,5 6 10,6,9,,,12
azlijjnmel,5 13 20,5,8,,,12
pyaxglqhwf,13 2 3,13,17,,,13
wswbsylwpg,11 7 8,11,15,,,14
pomaavqeea,13 14 2,14,18,,,13
yhcjllnhfw,11 7 8,8,12,,,14
xhzgvvghnx,20 24 5,20,23,,,15
rlkhtzcxbr,20 21 19,20,24,,,15
xaldpcpbzi,20 24 22,24,27,,,15
whfounrqxc,20 21 22,21,25,,,15
dftwgqcotf,14 18 19,18,21,19,22,16
kocxmhrjpq,2 3 5,2,3,3,5,17
xctkfffpcm,20 21 24,20,23,,,18
fvwbilljsi,20 19 17,19,22,,,18
ypvprpkmwu,0 1 24,24,27,,,18
fpyffhgmhq,20 21 22,20,24,,,18
thkrpfkppu,19 9 10,9,13,,,19
vywtecprkd,21 19 10,19,22,,,19
ceefytapmh,19 22 9,22,26,,,19
ptttlzxexz,10 21 0,10,14,,,19
dtoioylxai,2 6 3,3,5,,,20
zevntaxnpi,1 2 8,2,4,,,20
tjwdtbvphj,1 2 5,1,2,,,20
gkzeaowkdb,1 6 24,6,10,,,20
ismnfcmvrr,0 1 2,0,0,2,3,21
